,name,website,logo,pitch_line,hq_location,size,industries,founded_date,legal_name,email,phone,descrption,facebook,linkedin,twitter,total_funding,transaction_name,last_announced_date,cb_url
0,4M Carbon Fiber,4mio.com/,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/idsmwanqoglwfv1qwyr8",4M Carbon Fiber is deploying its patented and proven low-cost carbon fiber technology.,"Knoxville, Tennessee, United States",11-50,"Industrial, Information Technology, Machinery Manufacturing",2015,4M Carbon Fiber Corp.,info@4mio.com,(865) 444-6789,"4M Carbon Fiber Corp. (""4M""​), a Knoxville, Tennessee-based carbon-fiber technology company holds the exclusive rights to commercialize atmospheric plasma oxidation for the production of carbon fiber that was co-developed with Oak Ridge National Laboratory and RMX Technologies. 4M completed a reverse merger in 2017 with Woodland HoldingsCorp., an SEC reporting company (""Woodland""​ or the ""Company""​) to position itself as a public entity. 4M became a wholly-owned subsidiary of Woodland, through which Woodland will conduct its business operations. The company expects to be trading in late 2018. 4M recently determined that the best way to extract the economic and technical value from the technology is to build production lines using the technology and sell fiber. The technology has been proven to use 75% less energy, produce a high-quality fiber, and use 1/3 footprint for the same production capacity. These claims have been validated by multiple international carbon fiber producers. The company is in discussions with several of the world’s largest carbon fiber makers and a billion dollar per year international energy savings performance company to build five production lines in the next 5 years using the technology. The use of this technology is expected to reduce the cost of carbon fiber by 20%. The use of this technology is expected to reduce the cost of carbon fiber by a conservative 25%.",,https://www.linkedin.com/company/4m-industrial-oxidation/?originalSubdomain=in,https://twitter.com/4mcarbonfiber?lang=en,$4M,"Venture Round, Venture Round",2018-04-01 00:00:00,https://www.crunchbase.com/organization/4m-carbon-fiber
1,AeroPowder,www.aeropowder.com,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1480041557/n9oysq9ep76qslmg196u.png",AeroPowder is committed to ensuring that our future is built upon more sustainable foundations.,"London, England, United Kingdom",1-10,"Food and Beverage, Food Processing, Manufacturing",2016,,INFO@AEROPOWDER.COM,,"AEROPOWDER is committed to ensuring that our future is built upon more sustainable foundations. As development continues in the modern world, there will be an increasing environmental cost of the buildings and products that we use. As a society, we must find solutions so that the materials we use do not have a harmful lasting legacy.",https://www.facebook.com/aeropowder/,,https://twitter.com/aeropowder,$67.5K,"Non Equity Assistance, Grant",2020-10-21 00:00:00,https://www.crunchbase.com/organization/aeropowder
2,AlgiKnit,algiknit.com,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/lgswbisejtpo03brgjyt",AlgiKnit is a biomaterials company integrating science and design into textile production.,"New York, New York, United States",1-10,"Biotechnology, Manufacturing, Product Design, Sustainability, Textiles, Women Founded",2017,AlgiKnit Inc.,hello@algiknit.com,,AlgiKnit is a biomaterials company integrating science and design into textile production.,https://www.facebook.com/algiknit/,https://www.linkedin.com/company/11451488/,https://twitter.com/algiknit?lang=en,$4.6M,"Venture Round, Seed Round, Seed Round",2021-03-25 00:00:00,https://www.crunchbase.com/organization/algiknit
3,CFOAM,www.cfoam.com/,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/hmmvyhhtfgbnlmttlorb",CFOAM is an industrial-strength foam producer.,"Triadelphia, West Virginia, United States",11-50,"Industrial, Industrial Automation, Information Technology",Mar 2016,,info@cfoam.com,(304) 907-2220,"CFOAM is an industrial-strength foam producer. The company is a wholly owned subsidiary of CFOAM Ltd. Australia and is the only producer of coal-based carbon foam materials. It products includes carbon foam and PFoam.CFOAM Carbon Foam is a non-combustible coal-based carbon foam which exhibits excellent mechanical and thermal properties. Thisparticular line has proved to be an excellent engineering material for many high end applications including aerospace tooling, fireproof wall core material, energy absorbing structures, blast protection systems, thermal protection systems, exhaust systems, hot structures, and structural panels for EMI shielding and radar absorption applications.",,https://www.linkedin.com/company/carbon-innovations-llc.-cfoam-ltd.-/,,$4.5M,Pos,2017-10-23 00:00:00,https://www.crunchbase.com/organization/cfoam
4,Chasm Technologies,www.chasmtek.com/,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/gzuvukolzitzqgdszksr",Chasm Technologies is a manufacturer of carbon-nanotube-based printed electronics and energy storage material solutions.,"Canton, Massachusetts, United States",11-50,"Consulting, CRM, Information Technology, Manufacturing, Robotics",2005,,,(781)821-0443,CHASM’s mission is to develop and manufacture application-tailored products comprised of Carbon Nanotubes and other advanced materials. They also provide applications and business development services to help clients commercialize new products through smart application of materials science and process technology.,,,,$18M,"Venture Round, Series A",2019-08-12 00:00:00,https://www.crunchbase.com/organization/chasm-technologies
5,ECOncrete,www.econcretetech.com/,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1405486283/v4ge81r3pfupkvvs8l73.png",ECOncrete technology provides sustainable solutions for construction of ecologically active infrastructures.,"Tel Aviv, Tel Aviv, Israel",1-10,"Biotechnology, Environmental Engineering, Infrastructure, Sustainability",2012,,,,"ECOncrete technology provides sustainable solutions for construction of ecologically active infrastructures, in the coastal and marine environment as well as other urban landscapes. The Company develops, produces and supports implementation of innovative concrete products designed for enhancing the biological and ecological value of coastal andmarine infrastructures. ECOncrete's unique biological traits encourage biogenic buildup. They also provide substantial structural and economic advantages in terms of increased stability and longevity, as well as a reduction in maintenance costs.",,http://www.linkedin.com/company/econcrete,,$9M,"Series A, creNov ",2020-06-10 00:00:00,https://www.crunchbase.com/organization/econcrete
6,Ecovia Renewables,www.ecoviarenewables.com,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/eate6nm3e0skxxfsjr8b",We create high-performing biobased ingredients and materials from sustainable processes at the best value for our customers.,"Ann Arbor, Michigan, United States",1-10,"Advanced Materials, Agriculture, Biotechnology, Chemical, Energy, Women Founded",Apr 2014,Ecovia Renewables Inc.,info@ecoviarenewables.com,734-926-3041,"Ecovia Renewables Inc. was formed in 2014 as a spin-out company from the University of Michigan. It is our mission to develop and commercialize high-performing biobased ingredients and materials from sustainable processes at the best value for our customers. We do this by having microbial ecosystems work for us.Our suite of Ecovia™ Biopolymersare created from a proprietary fermentation process. They are affordable, biobased, biodegradable, and functional alternatives to conventional acrylate and acrylamide polymers and starch-based biopolymers. Applications range from soil additives for water retention to super-absorbent cores for infant diapers to thickeners for personal care and industrial products, among many others.",https://www.facebook.com/EcoviaBio/,https://www.linkedin.com/company/ecovia-renewables,https://www.twitter.com/ecoviabio,$3.8M,"Debt Financing, Grant, Seed Round, Venture Round, Grant",2020-06-23 00:00:00,https://www.crunchbase.com/organization/ecovia-renewables-inc
7,Lactips,lactips.com/en/home-lactips-en,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1506081609/si0dm44pe5tfyhsxe0px.jpg",Lactips produces water soluble and biodegradable thermoplastic pellets based on milk protein.,"Saint-jean-bonnefonds, Rhone-Alpes, France",11-50,"Chemical, Industrial, Manufacturing",2014,,info@lactips.com,+33 (0) 4 81 13 04 90,"Lactips produces water soluble and biodegradable thermoplastic pellets based on milk protein. Plastic transformation is realized through their secret industrial process. They are able to provide pellets fast and with high volume. Those pellets are used by clients as a raw material for thermoforming, films, or any kind of plastic applications. Theirfirst mission, correlated with their fundamental values, is to provide their industrial clients with new disruptive innovations to help them entering new markets.Their product will be a cleaner alternative to oil-based products, more efficient, and sustainable for consumers and the environment.",,https://in.linkedin.com/company/lactips,https://twitter.com/lactips_sa,€5.2M,"Venture Round, Grant",2018-07-17 00:00:00,https://www.crunchbase.com/organization/lactips
8,LOLIWARE,www.LOLIWARE.com,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/j1qw5md0wa2hyjzytb7o","LOLIWARE is an edible bioplastic company dedicated to replacing plastic with edible, hypercompostable materials.","New York, New York, United States",1-10,"Consumer Goods, Social Entrepreneurship, Social Impact, Sustainability, Women Founded, Women Led","Jan 2, 2015","LOLIWARE, LLC",hello@loliware.com,,"LOLIWARE is an edible bioplastic company dedicated to replacing plastic with edible, hypercompostable materials. The company was founded by award-winning industrial designers, Leigh Ann Tucker and Chelsea Briganti, who after learning of the 33B plastic cups that enter the landfill annually, sought to invent a solution to the global plastic crisis.In 2015, they formed LOLIWARE and set out to create the future of sustainability with the world’s first edible drinking cup. The idea quickly grew into a high-demand business attracting global attention from the media, major brands, and consumers in 60 countries across 6 continents. In 2015, they filmed their Shark Tank episode and brought Mark Cuban on board with his investment and strategic support.In 2018, the team will launch the world’s first edible, compostable straw: LOLISTRAW, aimed at replacing the 500M plastic straws that are used and discarded everyday in the United States. The company is poised to compete with Bio-based plastics with their line of hypercompostable cups, straws, and lids that break down in the organics bin alongside foodwaste. LOLIWARE believes products should be Designed to Disappear if they are to exist at all and aspires to reintroduce sustainability as fun-forward and ripe with experiential possibilities.",https://www.facebook.com/LOLIWARE-1613039715645348/,https://www.linkedin.com/in/chelsea-briganti-ba78b528/,https://twitter.com/loliware?lang=en,$7.9M,"Seed Round, Seed Round, Seed Round, Funding Round, Pre Seed Round, Seed Round, Seed Round",2020-01-16 00:00:00,https://www.crunchbase.com/organization/loliware-edible-bioplastics
9,Nano-C,www.nano-c.com,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/p56tpykowxbxmngwvmfw",Nano-C develops nanostructured carbons for use in high-value energy and electronics applications.,"Westwood, Massachusetts, United States",11-50,"Advanced Materials, Chemical, Manufacturing, Nanotechnology",2001,"Nano-C, Inc.",nanocinfo@nano-c.com,781-407-9417,"Nano-C develops nanostructured carbons for use in high-value energy and electronics applications. The carbons consist of carbon fullerenes, single-walled carbon nanotubes (SWCNT) and their chemical derivatives whose properties are essential for technologies such as transparent conducting films for displays, photo-resists, flash memory, transistors,photodetectors, sensors, solar panels, batteries, ultra-capacitors, fuel cells, and composite materials, allowing electronics and energy leaders to provides a new era in sleek new generation of green products and applications.",,https://www.linkedin.com/company/nano-c-inc-/,,$17.3M,"Debt Financing, Venture Round, Venture Round",2019-01-16 00:00:00,https://www.crunchbase.com/organization/nano-c
10,UbiQD,UbiQD.com,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/ot04kql4ucd03kfa1ttk",UbiQD is an advanced materials company that manufactures low-hazard quantum dots (QDs) and nanocomposites.,"Los Alamos, New Mexico, United States",11-50,"Advanced Materials, Manufacturing, Nanotechnology, Quantum Computing, Semiconductor","Feb 26, 2014","UbiQD, Inc.",info@UbiQD.com,+1 505-310-6766,"UbiQD is a cleantech materials company that manufactures low-hazard quantum dots (QDs) and nanocomposites. The company produces low-toxicity quantum dots (QDs) so inexpensively that they will become ubiquitous through various target applications including safety, design, solar energy, lighting, security, and personal care. It also provides theperfect conditions for reproducible nanomaterial production while the close proximity to Los Alamos and Sandia National Laboratory allows for beneficial collaborations with leading scientists in the area. UbiQD was founded in 2014 and is headquartered in Los Alamos, New Mexico.",https://www.facebook.com/ubiqd/,https://www.linkedin.com/company/ubiqd/,https://twitter.com/UbiQD,$9.2M,"Series A,  VenturesDec, Convertible Note, Grant, Angel Round, Grant, Angel Round",2020-12-09 00:00:00,https://www.crunchbase.com/organization/ubiqd
11,Woodoo,woodoo.com,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/lvvprpxz9ahn83naxjne","WOODOO bridges synthetic biology and organic chemistry to design patented, groundbreaking new materials.","Paris, Ile-de-France, France",11-50,"Advanced Materials, Automotive, Biotechnology, Forestry, Manufacturing, Wood Processing",2016,,contact@woodoo.com,,"WOODOO bridges synthetic biology and organic chemistry to design patented, groundbreaking new materials. Reinventing life onboard and passenger experience, WOODOO transforms native wood into a tactile, translucent HMI interface for enabling connected car interiors.",https://www.facebook.com/Woodoo-1036112566463857/,https://www.linkedin.com/company/10531289,https://twitter.com/woodoo,$5.2M,"Grant, Grant, Pre Seed Round, t",2019-01-01 00:00:00,https://www.crunchbase.com/organization/woodoo-fr
12,Arevo,arevo.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/cgwjbgod6so1rqksdedd",Arevo develops technology to enable direct digital additive manufacturing of parts for end use applications in high volume.,"Milpitas, California, United States",51-100,"3D Printing, Computer, Manufacturing, Robotics, Software",May 2013,"Arevo, Inc.",info@arevolabs.com,(408)780-3993,"AREVO, based in Silicon Valley, California, develops technology to enable direct digital additive manufacturing of ultra-strong, lightweight composite parts for end use applications in high volume. With the company's unique combination of breakthrough materials, powerful design/build software, and free motion robotics for the first“true 3D” construction, AREVO is moving beyond prototypes by enabling the design and fabrication of large, mass-produced parts and structures, quickly leading 3D printing into mainstream manufacturing. AREVO provides designers and manufacturers with unprecedented freedom to unlock the unparalleled strength and weight of composite materials for a wide range of consumer and industrial products, and has seen early success manufacturing CFRTP composite parts for OEM customers. With an initial focus on Aerospace, Defense, Consumer Electronics, Transportation, and Consumer Goods, Arevo is poised to optimize additive manufacturing services to OEM’s worldwide.",https://www.facebook.com/arevolabs,https://www.linkedin.com/company/arevo-labs?trk=top_nav_home,https://twitter.com/arevolabs,$44.5M,"Series B, apitalMay , Series B, Venture Round, Venture Round",2020-08-11 00:00:00,https://www.crunchbase.com/organization/arevo-labs
13,GigaCrete,gigacrete.com,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1397190157/798be287d14efbcb67c3d8fbec5ebf5e.png","GigaCrete offers eco-friendly building materials and building systems for builders, architects, and contractors.","Las Vegas, Nevada, United States",11-50,,2005,,jessica.ariza@gigacrete.com,702-643-6363,"Giga Crete is a private company categorized under Building Materials and located in Las Vegas, NV. Current estimates show this company has an annual revenue of $1 to 2.5 million and employs a staff of approximately 5 to 9.",http://www.facebook.com/GigaCreteCompany,http://www.linkedin.com/company/gigacrete-inc,,$5M,Venture Round,2007-06-12 00:00:00,https://www.crunchbase.com/organization/gigacrete
14,Abundant Robotics,www.abundantrobotics.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1493909405/f4yhwv2vjzszolhu2xw4.png",Solving important and large problems in Agriculture.,"Hayward, California, United States",1-10,"Agriculture, AgTech, Food and Beverage, Robotics",2016,"Abundant Robotics, Inc.",jessica.ariza@gigacrete.comPhone Number 702-643-6363,,"Abundant Robotics  mission: Deliver robotic systems for the hardest jobs in agriculture.As robotics researchers, we’ve broken new ground in a variety of domains. For the past two years we’ve focused on hard problems in agriculture and are spinning-out of SRI International to build products based on their successful research. They are globalexperts in their field, love solving important problems, like working together, and are passionate about building great products and working with like-minded folks. Customers are grappling with urgent problems and are incredibly enthusiastic about the solution we’ve demonstrated.",,https://www.linkedin.com/company/abundant-robotics,https://twitter.com/abundant_ag,$12M,"Series A, Seed Round",2017-05-04 00:00:00,https://www.crunchbase.com/organization/abundant-robotics
15,Aerobotics,www.aerobotics.com/,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/tlrn3ndosd6o3hdwyd9b","Aerobotics is a data analytics company, providing tree and fruit insights enabled by drone imagery and artificial intelligence.","Cape Town, NA - South Africa, South Africa",51-100,"Agriculture, AgTech, Analytics, Drones, Farming, Machine Learning, Software","Sep 1, 2014",Aerobotics (Pty) Ltd,info@aerobotics.com,+27 21 035 1060,Aerobotics provides intelligent tools for optimal perennial crop farming practices.,https://www.facebook.com/aeroboticsintl/,https://www.linkedin.com/company/aerobotics/,https://twitter.com/aerobotics_intl,$27M,"Series B, Venture Round, Series A, Series A, Non Equity Assistance, Non Equity Assistance, Seed Round, nah FundApr ",2020-12-11 00:00:00,https://www.crunchbase.com/organization/aerobotics
16,Agerris,agerris.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/q0nbxdb5j3lmvxg3toaz",Agerris is a field robotics and AI start-up based on technology created at the Australian Centre for Field Robotics.,"Chippendale, New South Wales, Australia",11-50,"Agriculture, Artificial Intelligence, Farming, Machine Learning, Robotics",Apr 2019,Agerris Pty Ltd,info@aerobotics.comPhone Number +27 21 035 1060,,"Agerris is a field robotics and AI start-up for the agriculture industry, based on technology created at the Australian Centre for Field Robotics, the University of Sydney, where they have been developing air and ground robotic solutions for the agriculture industry since 2005.",,https://www.linkedin.com/company/agerris,,A$6.5M,Seed Round,2019-04-08 00:00:00,https://www.crunchbase.com/organization/agerris
17,AgNext Technologies,www.agnext.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/wvwq0eplngbz2qzlphxf","AgNext is working at the intersection of hardware, software and analytics for quality estimation in agriculture and food.","Mohali, Punjab, India",101-250,"Analytics, Artificial Intelligence, Computer Vision, Farming, Food and Beverage, Machine Learning, Predictive Analytics, Procurement, Software","Sep 15, 2016",AgNext Technologies Pvt. Ltd.,contact@agnext.in,+91-97007-20005,"AgNext focuses on solving Food Quality, Food Safety and Food Traceability issues in agriculture and food value chain deploying its award winning Qualix Platform.
Qualix uses latest technologies in computer vision, spectroscopy and IoT devices merged with AI based data sciences for instant analysis of Physical, Chemical and Ambient Quality of Foodtraced back to the source.
AgNext's various technologies are useful for plantation companies, agricultural processors and other agriculture food chain participants to improve their profitability and marketability.",https://www.facebook.com/agnextworld/,https://www.linkedin.com/company/agnextworld/,https://www.twitter.com/agnextworld,$4.1M,"Series A, Seed Round, oreMar",2019-01-22 00:00:00,https://www.crunchbase.com/organization/agnext-technologies
18,Agranimo,www.agranimo.com/de/,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/ozbhkpw9iu0j03yti3zr",Agranimo helps improve profitability and eradicate food waste in the fresh produce supply chain.,"Santiago, Region Metropolitana, Chile",1-10,"Agriculture, Internet, Software","Nov 8, 2015",,contact@agranimo.com,,"Agranimo helps improve profitability and eradicate food waste in the fresh produce supply chain.The company's real-time analysis of soil and climate conditions allows farming organizations to cut costs and increase yields, retailers to forecast supply and improve supplier management, and insurance companies to provide customized farminsurance.Agranimo was founded in 2015 and based in Santiago, Region Metropolitana, Chile.",https://www.facebook.com/agranimo/,https://www.linkedin.com/company/agranimo/,https://twitter.com/Agranimo,€100K,"Non Equity Assistance, Convertible Note",2019-10-01 00:00:00,https://www.crunchbase.com/organization/intelag
19,Agricolus,www.agricolus.com,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/axipk2nd6xghng8zgiug",Making Precision farming easier! Agricolus® makes agTech tools accessible to worldwide farmers to improve production reducing wastes.,"Perugia, Umbria, Italy",11-50,"Agriculture, AgTech, Internet of Things, Machine Learning, Predictive Analytics, SaaS","Feb 20, 2017",,accounting@agricolus.com,+390759975503,"AGRICOLUS is a cloud applications ecosystem for precision farming with multiple purposes: disease awareness and forecasts, crop monitoring, decision support system for treatments and fertilizers, farm management and end to end traceability bringing valuable information to final users. It is already on the market and multinational agroholdingcompanies, medium-big farms, association of farmers and government are using it successfully.",https://www.facebook.com/AGRICOLUSsrl/,https://it.linkedin.com/company/agricoluss.r.l.,https://twitter.com/agricolussuite,,,,https://www.crunchbase.com/organization/agricolus
20,Agricool,www.agricool.co/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rpje8x58njclyly0ulng","Agricool grows local, tasty and pesticide-free fruits and vegetables by recycling shipping containers into urban farms.","Paris, Ile-de-France, France",51-100,"Agriculture, AgTech, Farming, Food and Beverage, Food Processing, Fruit, Hydroponics, Organic Food",Oct 2015,Agricool SAS,hello@agricool.co,,"Agricool has been created in 2015 by Guillaume Fourdinier and Gonzague Gru with the purpose of making local, tasty and pesticide-free fruits and vegetables available to all. To do so, Agricool is recycling shipping containers into urban farms, transforming into a small paradise for fruits and vegetables (lighting, air quality, irrigation, etc.).The technology developed enables the farms to be 120 times more productive than in conventional farming, to save more than 90% of water and to be run entirely on renewable energies. Today, the company grows strawberries in Paris and Dubai, but tomorrow, the ambition is to help feed the world with all types of fruits and vegetables and be part of the urban farming movement.",https://www.facebook.com/agricool.co,https://www.linkedin.com/company/agricool/,https://twitter.com/_agricool,$38.9M,"Series B, Series A, Seed Round, Pre Seed Round",2018-12-04 00:00:00,https://www.crunchbase.com/organization/agricool
